sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept
pair_08_07,pair_08,000000025515,000000046020,table,bus
pair_08_08,pair_08,000000040595,000000091687,table,bus
pair_08_09,pair_08,000000095199,000000034466,table,bus
pair_08_10,pair_08,000000045397,000000082128,table,bus
pair_08_11,pair_08,000000093576,000000059699,table,bus
pair_08_12,pair_08,000000040142,000000019777,table,bus
pair_08_13,pair_08,000000003054,000000009415,table,bus
pair_08_14,pair_08,000000098840,000000038354,table,bus
pair_08_15,pair_08,000000076066,000000031066,table,bus
pair_09_00,pair_09,000000008646,000000069338,fruit,window
pair_09_01,pair_09,000000007967,000000015694,fruit,window
pair_09_02,pair_09,000000068791,000000059845,fruit,window
pair_09_03,pair_09,000000073281,000000037915,fruit,window
pair_09_04,pair_09,000000054588,000000007711,fruit,window
pair_09_05,pair_09,000000088974,000000007644,fruit,window
pair_09_06,pair_09,000000026847,000000056331,fruit,window
pair_09_07,pair_09,000000059982,000000005267,fruit,window
pair_09_08,pair_09,000000049011,000000051852,fruit,window
pair_09_09,pair_09,000000027761,000000095130,fruit,window
pair_09_10,pair_09,000000035032,000000008037,fruit,window
pair_09_11,pair_09,000000000795,000000076666,fruit,window
pair_09_12,pair_09,000000033757,000000092835,fruit,window
pair_09_13,pair_09,000000064710,000000097203,fruit,window
pair_09_14,pair_09,000000090928,000000077681,fruit,window
pair_09_15,pair_09,000000071219,000000072065,fruit,window
pair_10_00,pair_10,000000011339,000000018980,kitchen,box
pair_10_01,pair_10,000000009865,000000006141,kitchen,box
pair_10_02,pair_10,000000035277,000000003650,kitchen,box
pair_10_03,pair_10,000000082182,000000029901,kitchen,box
pair_10_04,pair_10,000000053859,000000070521,kitchen,box
pair_10_05,pair_10,000000091636,000000011675,kitchen,box
pair_10_06,pair_10,000000029047,000000018192,kitchen,box
pair_10_07,pair_10,000000037168,000000070724,kitchen,box
pair_10_08,pair_10,000000057175,000000090229,kitchen,box
pair_10_09,pair_10,000000074147,000000046873,kitchen,box
pair_10_10,pair_10,000000081128,000000076603,kitchen,box
pair_10_11,pair_10,000000063495,000000073574,kitchen,box
pair_10_12,pair_10,000000080488,000000053144,kitchen,box
pair_10_13,pair_10,000000091160,000000014300,kitchen,box
pair_10_14,pair_10,000000084452,000000068073,kitchen,box
pair_10_15,pair_10,000000078893,000000060132,kitchen,box
pair_11_00,pair_11,000000026516,000000051757,strawberry,christmas
pair_11_01,pair_11,000000096774,000000077766,strawberry,christmas
pair_11_02,pair_11,000000056131,000000014525,strawberry,christmas
pair_11_03,pair_11,000000007090,000000086234,strawberry,christmas
pair_11_04,pair_11,000000001021,000000097899,strawberry,christmas
pair_11_05,pair_11,000000015141,000000063380,strawberry,christmas
pair_11_06,pair_11,000000076076,000000021747,strawberry,christmas
pair_11_07,pair_11,000000086461,000000089355,strawberry,christmas
pair_11_08,pair_11,000000033443,000000003466,strawberry,christmas
pair_11_09,pair_11,000000065373,000000054072,strawberry,christmas
pair_11_10,pair_11,000000097686,000000033327,strawberry,christmas
pair_11_11,pair_11,000000022295,000000059169,strawberry,christmas
pair_11_12,pair_11,000000036426,000000094721,strawberry,christmas
pair_11_13,pair_11,000000055716,000000008187,strawberry,christmas
pair_11_14,pair_11,000000096548,000000029921,strawberry,christmas
pair_11_15,pair_11,000000010934,000000010829,strawberry,christmas
pair_12_00,pair_12,000000042727,000000051483,bridge,boy
pair_12_01,pair_12,000000023238,000000002601,bridge,boy
pair_12_02,pair_12,000000042149,000000029049,bridge,boy
pair_12_03,pair_12,000000021699,000000086393,bridge,boy
pair_12_04,pair_12,000000023944,000000096917,bridge,boy
pair_12_05,pair_12,000000023031,000000066879,bridge,boy
pair_12_06,pair_12,000000066929,000000000950,bridge,boy
pair_12_07,pair_12,000000021807,000000001578,bridge,boy
pair_12_08,pair_12,000000042747,000000023181,bridge,boy
pair_12_09,pair_12,000000007181,000000063675,bridge,boy
pair_12_10,pair_12,000000037363,000000027324,bridge,boy
pair_12_11,pair_12,000000038964,000000038759,bridge,boy
pair_12_12,pair_12,000000019774,000000007098,bridge,boy
pair_12_13,pair_12,000000097944,000000017223,bridge,boy
pair_12_14,pair_12,000000097959,000000005556,bridge,boy
pair_12_15,pair_12,000000070204,000000008884,bridge,boy
pair_13_00,pair_13,000000017048,000000073826,access,cupcake
pair_13_01,pair_13,000000048827,000000008674,access,cupcake
pair_13_02,pair_13,000000024345,000000033539,access,cupcake
pair_13_03,pair_13,000000037866,000000042766,access,cupcake
pair_13_04,pair_13,000000034659,000000041907,access,cupcake
pair_13_05,pair_13,000000037565,000000037479,access,cupcake
pair_13_06,pair_13,000000036861,000000096252,access,cupcake
pair_13_07,pair_13,000000011372,000000056369,access,cupcake
pair_13_08,pair_13,000000032611,000000064993,access,cupcake
pair_13_09,pair_13,000000008842,000000039889,access,cupcake
pair_13_10,pair_13,000000040523,000000091218,access,cupcake
pair_13_11,pair_13,000000088312,000000002460,access,cupcake
pair_13_12,pair_13,000000000998,000000091969,access,cupcake
pair_13_13,pair_13,000000025497,000000022555,access,cupcake
pair_13_14,pair_13,000000076427,000000014452,access,cupcake
pair_13_15,pair_13,000000008039,000000067053,access,cupcake
pair_14_00,pair_14,000000044709,000000080591,coffee,angel
pair_14_01,pair_14,000000028879,000000096034,coffee,angel
pair_14_02,pair_14,000000049750,000000096481,coffee,angel
pair_14_03,pair_14,000000040757,000000026329,coffee,angel
pair_14_04,pair_14,000000011000,000000030693,coffee,angel
pair_14_05,pair_14,000000075029,000000075255,coffee,angel
pair_14_06,pair_14,000000011140,000000012221,coffee,angel
pair_14_07,pair_14,000000027984,000000083991,coffee,angel
pair_14_08,pair_14,000000073934,000000018190,coffee,angel
pair_14_09,pair_14,000000075487,000000072545,coffee,angel
pair_14_10,pair_14,000000078815,000000043363,coffee,angel
pair_14_11,pair_14,000000021823,000000082110,coffee,angel
pair_14_12,pair_14,000000090347,000000014441,coffee,angel
pair_14_13,pair_14,000000045271,000000047753,coffee,angel
pair_14_14,pair_14,000000092907,000000036912,coffee,angel
pair_14_15,pair_14,000000043673,000000058705,coffee,angel
pair_15_00,pair_15,000000066320,000000082665,bear,cabin
pair_15_01,pair_15,000000075034,000000005303,bear,cabin
pair_15_02,pair_15,000000047601,000000046551,bear,cabin
pair_15_03,pair_15,000000046318,000000084002,bear,cabin
pair_15_04,pair_15,000000099863,000000058660,bear,cabin
pair_15_05,pair_15,000000017220,000000020369,bear,cabin
pair_15_06,pair_15,000000002216,000000032579,bear,cabin
pair_15_07,pair_15,000000004034,000000049844,bear,cabin
pair_15_08,pair_15,000000029093,000000071167,bear,cabin
pair_15_09,pair_15,000000068663,000000040596,bear,cabin
pair_15_10,pair_15,000000019713,000000080562,bear,cabin
pair_15_11,pair_15,000000011343,000000043742,bear,cabin
pair_15_12,pair_15,000000007794,000000013811,bear,cabin
pair_15_13,pair_15,000000005236,000000065435,bear,cabin
pair_15_14,pair_15,000000012327,000000022819,bear,cabin
pair_15_15,pair_15,000000049427,000000037174,bear,cabin
pair_16_00,pair_16,000000017997,000000002664,river,vegetable
pair_16_01,pair_16,000000053639,000000001804,river,vegetable
pair_16_02,pair_16,000000043025,000000074270,river,vegetable
pair_16_03,pair_16,000000063917,000000022543,river,vegetable
pair_16_04,pair_16,000000024619,000000095367,river,vegetable
pair_16_05,pair_16,000000024348,000000010818,river,vegetable
pair_16_06,pair_16,000000042046,000000024241,river,vegetable
pair_16_07,pair_16,000000022695,000000015794,river,vegetable
pair_16_08,pair_16,000000008319,000000034369,river,vegetable
pair_16_09,pair_16,000000037180,000000064383,river,vegetable
pair_16_10,pair_16,000000071574,000000065189,river,vegetable
pair_16_11,pair_16,000000076459,000000076167,river,vegetable
pair_16_12,pair_16,000000094684,000000017656,river,vegetable
pair_16_13,pair_16,000000027368,000000063573,river,vegetable
pair_16_14,pair_16,000000002079,000000038270,river,vegetable
pair_16_15,pair_16,000000089869,000000084256,river,vegetable
pair_17_00,pair_17,000000025696,000000011161,suit,cup
pair_17_01,pair_17,000000074807,000000063412,suit,cup
pair_17_02,pair_17,000000042124,000000025374,suit,cup
pair_17_03,pair_17,000000053057,000000011797,suit,cup
pair_17_04,pair_17,000000070806,000000021559,suit,cup
pair_17_05,pair_17,000000061734,000000041514,suit,cup
pair_17_06,pair_17,000000009571,000000072913,suit,cup
pair_17_07,pair_17,000000074520,000000074481,suit,cup
pair_17_08,pair_17,000000021694,000000021363,suit,cup
pair_17_09,pair_17,000000034596,000000092351,suit,cup
pair_17_10,pair_17,000000034249,000000043648,suit,cup
pair_17_11,pair_17,000000075558,000000067226,suit,cup
pair_17_12,pair_17,000000079355,000000020118,suit,cup
pair_17_13,pair_17,000000025490,000000035893,suit,cup
pair_17_14,pair_17,000000082545,000000076432,suit,cup
pair_17_15,pair_17,000000012599,000000078114,suit,cup
pair_18_00,pair_18,000000069346,000000080711,mustang,garden
pair_18_01,pair_18,000000001214,000000075996,mustang,garden
pair_18_02,pair_18,000000023479,000000012305,mustang,garden
pair_18_03,pair_18,000000079166,000000077568,mustang,garden
pair_18_04,pair_18,000000017774,000000007578,mustang,garden
pair_18_05,pair_18,000000076069,000000023409,mustang,garden
pair_18_06,pair_18,000000037008,000000026098,mustang,garden
pair_18_07,pair_18,000000040534,000000012124,mustang,garden
pair_18_08,pair_18,000000090455,000000063871,mustang,garden
pair_18_09,pair_18,000000078900,000000081259,mustang,garden
pair_18_10,pair_18,000000008177,000000055435,mustang,garden
pair_18_11,pair_18,000000017150,000000013531,mustang,garden
pair_18_12,pair_18,000000072454,000000018964,mustang,garden
pair_18_13,pair_18,000000058136,000000001500,mustang,garden
pair_18_14,pair_18,000000069025,000000031644,mustang,garden
pair_18_15,pair_18,000000061963,000000041994,mustang,garden
pair_19_00,pair_19,000000093185,000000087034,egg,toast
pair_19_01,pair_19,000000036585,000000084924,egg,toast
pair_19_02,pair_19,000000074738,000000050603,egg,toast
pair_19_03,pair_19,000000041045,000000013284,egg,toast
pair_19_04,pair_19,000000049600,000000000157,egg,toast
pair_19_05,pair_19,000000019971,000000039593,egg,toast
pair_19_06,pair_19,000000091298,000000046389,egg,toast
pair_19_07,pair_19,000000041371,000000065023,egg,toast
pair_19_08,pair_19,000000077708,000000039836,egg,toast
pair_19_09,pair_19,000000064146,000000012086,egg,toast
pair_19_10,pair_19,000000084305,000000008902,egg,toast
pair_19_11,pair_19,000000059592,000000092614,egg,toast
pair_19_12,pair_19,000000076821,000000093018,egg,toast
pair_19_13,pair_19,000000019464,000000024838,egg,toast
pair_19_14,pair_19,000000071464,000000083630,egg,toast
pair_19_15,pair_19,000000044433,000000032027,egg,toast
pair_20_00,pair_20,000000053139,000000071394,gingerbread,baby
pair_20_01,pair_20,000000015416,000000061678,gingerbread,baby
pair_20_02,pair_20,000000066190,000000080806,gingerbread,baby
pair_20_03,pair_20,000000092985,000000078065,gingerbread,baby
pair_20_04,pair_20,000000013682,000000044267,gingerbread,baby
pair_20_05,pair_20,000000007820,000000036428,gingerbread,baby
pair_20_06,pair_20,000000008153,000000072375,gingerbread,baby
pair_20_07,pair_20,000000027242,000000061425,gingerbread,baby
pair_20_08,pair_20,000000091619,000000020444,gingerbread,baby
pair_20_09,pair_20,000000004064,000000018841,gingerbread,baby
pair_20_10,pair_20,000000005247,000000076173,gingerbread,baby
pair_20_11,pair_20,000000078940,000000036468,gingerbread,baby
pair_20_12,pair_20,000000094456,000000033247,gingerbread,baby
pair_20_13,pair_20,000000018085,000000024872,gingerbread,baby
pair_20_14,pair_20,000000008619,000000087568,gingerbread,baby
pair_20_15,pair_20,000000088902,000000040904,gingerbread,baby
pair_21_00,pair_21,000000071767,000000096280,dress,boat
pair_21_01,pair_21,000000097544,000000009099,dress,boat
pair_21_02,pair_21,000000017007,000000012053,dress,boat
pair_21_03,pair_21,000000050317,000000027797,dress,boat
pair_21_04,pair_21,000000042069,000000095159,dress,boat
pair_21_05,pair_21,000000071796,000000092281,dress,boat
pair_21_06,pair_21,000000026782,000000014246,dress,boat
pair_21_07,pair_21,000000093718,000000009046,dress,boat
pair_21_08,pair_21,000000018901,000000070272,dress,boat
pair_21_09,pair_21,000000068916,000000027678,dress,boat
pair_21_10,pair_21,000000042353,000000032711,dress,boat
pair_21_11,pair_21,000000042286,000000016250,dress,boat
pair_21_12,pair_21,000000022925,000000055908,dress,boat
pair_21_13,pair_21,000000049530,000000051728,dress,boat
pair_21_14,pair_21,000000030481,000000008974,dress,boat
pair_21_15,pair_21,000000097418,000000042487,dress,boat
pair_22_00,pair_22,000000054112,000000078703,child,motorcycle
pair_22_01,pair_22,000000005064,000000042088,child,motorcycle
pair_22_02,pair_22,000000068965,000000044570,child,motorcycle
pair_22_03,pair_22,000000049271,000000048136,child,motorcycle
pair_22_04,pair_22,000000096099,000000037790,child,motorcycle
pair_22_05,pair_22,000000065224,000000094084,child,motorcycle
pair_22_06,pair_22,000000023243,000000035965,child,motorcycle
pair_22_07,pair_22,000000059256,000000054551,child,motorcycle
pair_22_08,pair_22,000000003787,000000013950,child,motorcycle
pair_22_09,pair_22,000000016972,000000080326,child,motorcycle
pair_22_10,pair_22,000000096208,000000088800,child,motorcycle
pair_22_11,pair_22,000000020482,000000087833,child,motorcycle
pair_22_12,pair_22,000000059734,000000033299,child,motorcycle
pair_22_13,pair_22,000000050717,000000057629,child,motorcycle
pair_22_14,pair_22,000000055551,000000049761,child,motorcycle
pair_22_15,pair_22,000000015689,000000047443,child,motorcycle
pair_23_00,pair_23,000000070279,000000093959,candy,chocolate
pair_23_01,pair_23,000000004339,000000098734,candy,chocolate
pair_23_02,pair_23,000000088734,000000020924,candy,chocolate
pair_23_03,pair_23,000000071954,000000090956,candy,chocolate
pair_23_04,pair_23,000000008306,000000002363,candy,chocolate
pair_23_05,pair_23,000000077377,000000072679,candy,chocolate
pair_23_06,pair_23,000000005023,000000030654,candy,chocolate
pair_23_07,pair_23,000000072703,000000051779,candy,chocolate
pair_23_08,pair_23,000000004384,000000081231,candy,chocolate
pair_23_09,pair_23,000000086209,000000054614,candy,chocolate
pair_23_10,pair_23,000000098321,000000054962,candy,chocolate
pair_23_11,pair_23,000000047048,000000065358,candy,chocolate
pair_23_12,pair_23,000000053418,000000034831,candy,chocolate
pair_23_13,pair_23,000000052045,000000009678,candy,chocolate
pair_23_14,pair_23,000000064152,000000054663,candy,chocolate
pair_23_15,pair_23,000000054224,000000040559,candy,chocolate
pair_24_00,pair_24,000000096665,000000053456,variety,bird
pair_24_01,pair_24,000000012262,000000051654,variety,bird
pair_24_02,pair_24,000000010287,000000040912,variety,bird
pair_24_03,pair_24,000000039759,000000010404,variety,bird
pair_24_04,pair_24,000000008796,000000021422,variety,bird
pair_24_05,pair_24,000000054330,000000081752,variety,bird
pair_24_06,pair_24,000000071622,000000050902,variety,bird
pair_24_07,pair_24,000000004605,000000005138,variety,bird
pair_24_08,pair_24,000000099583,000000076934,variety,bird
pair_24_09,pair_24,000000037078,000000005765,variety,bird
pair_24_10,pair_24,000000026660,000000059151,variety,bird
pair_24_11,pair_24,000000041745,000000016008,variety,bird
pair_24_12,pair_24,000000020037,000000029395,variety,bird
pair_24_13,pair_24,000000015706,000000026085,variety,bird
pair_24_14,pair_24,000000012079,000000018781,variety,bird
pair_24_15,pair_24,000000086875,000000023240,variety,bird
